time,position,measured_position,velocity,measured_velocity,heading,observed,hidden_state,control_input,seed,controller,world_mode,orientation
0.5,"(0.75, 0.0)","(1.0, 0.0)","(1.5, 0.0)","(1.5, 0.0)",0.0,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(10.0, 0.0)",43,proportional,noisy_quantized_measurement,0.0
1.0,"(1.6875, 0.0)","(1.5, 0.0)","(1.875, 0.0)","(2.0, 0.0)",0.0,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(9.0, 0.0)",43,proportional,noisy_quantized_measurement,0.0
1.5,"(2.671875, 0.0)","(2.5, 0.0)","(1.96875, 0.0)","(2.0, 0.0)",0.0,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(8.5, 0.0)",43,proportional,noisy_quantized_measurement,0.0
2.0,"(3.66796875, 0.0)","(3.5, 0.0)","(1.9921875, 0.0)","(2.0, 0.0)",0.0,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(7.5, 0.0)",43,proportional,noisy_quantized_measurement,0.0
2.5,"(4.6669921875, 0.0)","(4.5, 0.0)","(1.998046875, 0.0)","(2.0, 0.0)",0.0,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(6.5, 0.0)",43,proportional,noisy_quantized_measurement,0.0
3.0,"(5.666748046875, 0.0)","(5.5, 0.0)","(1.99951171875, 0.0)","(2.0, 0.0)",0.0,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(5.5, 0.0)",43,proportional,noisy_quantized_measurement,0.0
3.5,"(6.66668701171875, 0.0)","(6.5, 0.0)","(1.9998779296875, 0.0)","(2.0, 0.0)",0.0,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(4.5, 0.0)",43,proportional,noisy_quantized_measurement,0.0
4.0,"(7.6666717529296875, 0.0)","(7.5, 0.0)","(1.999969482421875, 0.0)","(2.0, 0.0)",0.0,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(3.5, 0.0)",43,proportional,noisy_quantized_measurement,0.0
4.5,"(8.666667938232422, 0.0)","(8.5, 0.0)","(1.9999923706054688, 0.0)","(2.0, 0.0)",0.0,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(2.5, 0.0)",43,proportional,noisy_quantized_measurement,0.0
5.0,"(9.479166984558105, 0.0)","(9.5, 0.0)","(1.6249980926513672, 0.0)","(1.5, 0.0)",0.0,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(1.5, 0.0)",43,proportional,noisy_quantized_measurement,0.0
